NAME,B01003_001E,B25064_001E,B25077_001E,B07003_001E,B07003_004E,B07003_008E,B07003_010E,B11016_001E,B25003_002E,B25003_003E,zip,moved_different_house_pct,median_rent_usd,population,zillow_home_value_index,zillow_rent_index
ZCTA5 33012,71088,1470,313600,70409,64525,1486,712,25048,12205,12843,33012,0.08356886193526396,1470,71088,385557.1654073382,2279.6222405045933
ZCTA5 33013,29830,1457,362700,29637,27013,1087,113,9356,5673,3683,33013,0.08853797617842561,1457,29830,564818.2071044594,2800.222222222222
ZCTA5 33014,40739,1574,371000,40211,36118,1565,338,14420,6554,7866,33014,0.10178806794160802,1574,40739,441136.0967234325,2410.4551083591327
ZCTA5 33015,68517,1720,358400,67936,59056,3364,680,23157,12221,10936,33015,0.13071125765426284,1720,68517,396140.2992868467,2379.724198506807
ZCTA5 33016,45620,1652,273100,45167,41251,1612,143,15621,7760,7861,33016,0.08670046715522395,1652,45620,296353.4903200672,2431.511111111111
ZCTA5 33018,55241,1850,379200,54726,49564,2154,309,16961,12555,4406,33018,0.09432445272813654,1850,55241,530640.1113964511,2832.267543859649
ZCTA5 33030,36405,1237,342900,35495,32082,1314,248,10582,4036,6546,33030,0.09615438794196365,1237,36405,512532.5023269248,2252.1666666666665
ZCTA5 33031,7692,1471,441700,7649,7285,136,51,2419,2177,242,33031,0.047587919989541115,1471,7692,907840.0167813102,
ZCTA5 33032,57327,1520,340000,56817,50215,2116,480,17014,10075,6939,33032,0.11619761691043173,1520,57327,455210.4522445742,2678.8281210272057
ZCTA5 33033,68121,1571,332300,67290,58616,3258,331,19948,11177,8771,33033,0.12890474067469163,1571,68121,435166.2393320717,2468.661746031746
ZCTA5 33034,23774,1273,195700,23425,20866,745,424,5930,1825,4105,33034,0.10924226254002134,1273,23774,383165.59878408303,2269.9007936507937
ZCTA5 33035,16788,1781,248900,16710,14167,907,107,5474,2850,2624,33035,0.15218432076600838,1781,16788,333140.66613008897,2264.18201754386
ZCTA5 33165,52047,1704,440700,51801,48476,1068,387,17306,12508,4798,33165,0.06418795003957453,1704,52047,681210.4038035698,3112.2321428571427
ZCTA5 33166,26364,1655,466500,26131,21813,1482,440,9834,4820,5014,33166,0.16524434579618077,1655,26364,607020.851584569,2855.0596903096903
ZCTA5 33167,22823,1337,292300,22680,21223,520,200,6639,3963,2676,33167,0.06424162257495591,1337,22823,467360.61195938895,2943.8888888888887
ZCTA5 33168,23458,1485,293800,23310,21621,732,202,6486,4892,1594,33168,0.07245817245817246,1485,23458,460671.15740656696,2500.555555555556
ZCTA5 33169,42156,1480,321100,41859,38407,898,769,13254,6892,6362,33169,0.08246733080102248,1480,42156,466275.7539330061,2390.684523809524
ZCTA5 33170,14477,1525,381000,14213,12531,703,75,4433,2706,1727,33170,0.11834236262576514,1525,14477,572190.9267844044,2408.2916666666665
ZCTA5 33172,40278,1826,235800,40047,34746,1614,301,14485,6631,7854,33172,0.13236946587759382,1826,40278,299949.09129993204,2478.447368421053
ZCTA5 33173,33026,1840,417500,32668,29530,1207,254,11749,8071,3678,33173,0.09605730378351904,1840,33026,569427.0192781443,2639.984593837535
ZCTA5 33174,34335,1667,357400,34087,29393,892,984,11050,5579,5471,33174,0.13770645700707015,1667,34335,443497.0638608453,2579.6309523809523
ZCTA5 33175,50233,1844,421400,49752,46468,764,218,17115,13043,4072,33175,0.06600739668757034,1844,50233,625095.250620412,2880.7619047619046
ZCTA5 33176,52719,1605,541600,52348,47733,1777,126,18847,11835,7012,33176,0.0881600061129365,1605,52719,629113.56497749,2346.986289173789
ZCTA5 33177,56791,1961,362100,56329,52146,1820,345,16240,12196,4044,33177,0.0742601501890678,1961,56791,573699.5590516581,2751.337037037037
ZCTA5 33178,64751,2466,464100,64010,49730,4870,876,19718,9573,10145,33178,0.22309014216528666,2466,64751,556534.6998928332,3031.0411667811773
ZCTA5 33179,48196,1627,239900,47663,42500,1722,778,18433,10437,7996,33179,0.10832301785452028,1627,48196,277220.96520552033,2206.432367149758
ZCTA5 33180,32881,2323,448300,32651,28830,755,508,14456,9314,5142,33180,0.11702551223545986,2323,32881,465240.65727750375,3053.314465981133
ZCTA5 33181,20448,1530,296800,19932,16391,980,430,8384,3444,4940,33181,0.17765402368051375,1530,20448,318112.886510796,2401.695652173913
ZCTA5 33182,13163,2264,439900,13108,12476,145,150,4240,3508,732,33182,0.048214830637778455,2264,13163,670861.8468865172,3527.777777777778
ZCTA5 33183,34057,1778,346600,33837,31938,724,88,12349,8144,4205,33183,0.056121996630906994,1778,34057,395276.9511923164,2516.5242165242166
ZCTA5 33184,20850,1976,364200,20810,19432,447,32,6548,4572,1976,33184,0.06621816434406536,1976,20850,570272.085487892,2858.333333333333
ZCTA5 33185,29530,2642,459800,29255,27681,520,48,8974,7262,1712,33185,0.05380276875747735,2642,29530,674531.0497545387,3525.555555555555
ZCTA5 33186,68750,1961,391500,67972,62890,2002,244,23284,15675,7609,33186,0.07476608015065027,1961,68750,524032.46199085546,2613.3375104427737
ZCTA5 33187,19346,2269,467900,19174,17721,558,80,5656,4953,703,33187,0.07577970167935746,2269,19346,717925.6653060889,3456.666666666667
ZCTA5 33189,24575,1496,357200,24398,22189,739,147,8431,4972,3459,33189,0.09054020821378801,1496,24575,554054.5256170727,2689.349867724868
ZCTA5 33190,16909,1663,339000,16700,13751,1282,0,5373,2450,2923,33190,0.17658682634730538,1663,16909,436289.91821852187,2599.333333333333
ZCTA5 33193,47116,1697,384600,46995,43137,1575,107,15643,9277,6366,33193,0.08209383977018832,1697,47116,444387.8321485156,2468.769841269841
ZCTA5 33194,8617,2363,439500,8513,7756,148,299,1962,1576,386,33194,0.0889228239163632,2363,8617,570992.5725511562,
ZCTA5 33196,54187,2011,428400,53631,47585,2209,131,16980,11447,5533,33196,0.11273330722902798,2011,54187,567280.1136530304,2520.628472222222
ZCTA5 33039,0,-666666666,-666666666,0,0,0,0,0,0,0,33039,,-666666666,0,,
ZCTA5 33054,31590,1244,267300,31289,28633,1047,300,10281,4939,5342,33054,0.08488606219438141,1244,31590,420745.5669693744,2662.5
ZCTA5 33055,37977,1546,307100,37702,33945,1482,310,11898,8916,2982,33055,0.09964988594769508,1546,37977,504885.8693866418,3080.555555555555
ZCTA5 33056,37274,1560,288000,37017,34487,623,508,11593,7522,4071,33056,0.0683469757138612,1560,37274,480856.0975765718,2730.769841269841
