zip,area_name,rent_band,transit,social,quiet,pet_friendly,walkable,migration_score,median_rent_usd
33101,ZCTA5 33101,1200-1800,0.0,0.0,1.0,0.6,0.0,0.0,-666666666
33109,ZCTA5 33109,1200-1800,0.0,0.01114112086428089,0.9944294395678596,0.6,0.0,0.4328200801518666,-666666666
33122,ZCTA5 33122,2200-2800,0.4618313352284112,0.026347625478280443,0.9868261872608598,0.6,0.9999983035089074,1.0,2370
33125,Riverside,1200-1800,0.8837774306050138,0.7719024307900068,0.6140487846049967,0.6,0.9999966055178228,0.18552595646222325,1238
33126,ZCTA5 33126,1200-1800,0.7078220700767824,0.658310826018456,0.670844586990772,0.6,0.999997067515397,0.21742413746050984,1546
33127,Wynwood,1200-1800,0.8528039800872204,0.8,0.8009087328381724,0.6,0.9999966730174683,0.278098029644965,1283
33128,Downtown,1200-1800,0.9186242947334218,0.8,0.9367755458023858,0.6,0.9999965350181929,0.3852240236956452,1191
33129,Brickell Hammock,1800-2200,0.5083573534840518,0.21359441818591043,0.8932027909070448,0.6,0.9999979780106164,0.35941310506124413,2153
33130,Brickell,1200-1800,0.85,0.8,0.7682731262660365,0.6,0.9999970780153419,0.45226588317100047,1553
33131,South Beach,2200-2800,0.85,0.8,0.8414641008327707,0.6,0.9999987220067101,0.6214160971842521,2649
33132,Edgewater,2200-2800,0.85,0.8,0.8794733288318703,0.6,0.9999983080088838,0.7375165016202857,2373
33133,Coconut Grove,1800-2200,0.6000006569989225,0.4853139770425388,0.7573430114787306,0.6,0.9999974845132076,0.41367420988735004,1824
33134,Coral Gables,1200-1800,0.6366285038144281,0.5339579113211794,0.7330210443394103,0.6,0.9999973270140345,0.2891881224299054,1719
33135,Little Havana,1200-1800,0.8960721837947283,0.4887182084177358,0.7556408957911321,0.6,0.9999965800179567,0.2167565178858531,1221
33136,Health District,1200-1800,0.929541711653036,0.8,0.8814567859554355,0.6,0.9999965140183031,0.39056587707635443,1177
33137,Design District,1800-2200,0.85,0.8,0.8221711118613549,0.6,0.9999979615107031,0.4786241568222577,2142
33138,Midtown,1200-1800,0.85,0.8,0.7987775714607247,0.6,0.9999968335166256,0.2678397256876463,1390
33139,Miami Beach,1200-1800,0.85,0.8,0.7531228899392303,0.6,0.9999972685143417,0.5339946311828779,1680
33140,Mid-Beach,1800-2200,0.5724000750458947,0.2783170155300473,0.8608414922349763,0.6,0.9999976165125145,0.4187048179577052,1912
33141,Biscayne North,1200-1800,0.6697253131183764,0.5059503713706954,0.7470248143146523,0.6,0.9999971995147039,0.42271733250765264,1634
33142,Allapattah,1200-1800,0.9201681983506254,0.8316593517893315,0.5841703241053342,0.6,0.9999965320182086,0.226641624652818,1189
33143,ZCTA5 33143,1200-1800,0.640351467915698,0.4457573711456223,0.7771213144271889,0.6,0.9999973120141132,0.24722947192977437,1709
33144,ZCTA5 33144,1200-1800,0.6792809238034165,0.37412784154850326,0.8129360792257484,0.6,0.9999971650148851,0.17686071597631922,1611
33145,Coral Way,1200-1800,0.64601828053002,0.4113211793832996,0.7943394103083502,0.6,0.9999972895142314,0.21719705812896448,1694
33146,Coral Gables/U.M.,2200-2800,0.42573966795043605,0.2526727436416836,0.8736636281791582,0.6,0.9999986050073244,0.7042254109401659,2571
33147,Liberty City,1200-1800,0.8554689873921889,0.6620667341886113,0.6689666329056944,0.6,0.9999966670174998,0.17051672706228205,1279
33149,ZCTA5 33149,3500+,0.31267959836979337,0.20592786405581814,0.8970360679720909,0.6,1.0,0.36344782840785034,3501
33150,Little Haiti,1200-1800,1.0,0.44743135268962414,0.776284323655188,0.6,0.9999963895189569,0.2878447047078506,1094
33154,Bal Harbour,1800-2200,0.526190110284644,0.2047743641683547,0.8976128179158227,0.6,0.9999978685111914,0.30776985107925964,2080
33155,West Miami,1800-2200,0.5793657702568035,0.6147591717308125,0.6926204141345937,0.6,0.9999975820126956,0.20848368894726305,1889
33156,Pinecrest,1800-2200,0.5706103978206255,0.4583333333333333,0.7708333333333334,0.6,0.9999976255124673,0.2362387609466657,1918
33157,Palmetto Bay,1200-1800,0.7738519615541611,0.9727661489984245,0.5136169255007877,0.6,0.9999968695164366,0.20366399947763011,1414
33158,Palmetto Bay,2800-3500,0.32962181151158976,0.09194238127391402,0.954028809363043,0.6,0.9999997300014176,0.15350803524404644,3321
33160,Aventura,1800-2200,0.5896614171152114,0.5916329056943507,0.7041835471528246,0.6,0.9999975325129555,0.29392540046268006,1856
33161,North Miami,1200-1800,0.7849465897843669,0.7430790006752195,0.6284604996623903,0.6,0.9999968395165941,0.3107526174857053,1394
33162,North Miami Beach,1200-1800,0.7722147605970592,0.6798053117263111,0.6600973441368445,0.6,0.999996874016413,0.169014577769995,1417
33010,ZCTA5 33010,1200-1800,0.8823531344114478,0.5919564483457124,0.7040217758271439,0.6,0.999996608517807,0.24963357597191513,1240
33012,ZCTA5 33012,1200-1800,0.7443919901964563,1.0,0.5,0.6,0.9999969535159956,0.17683248743610366,1470
33013,ZCTA5 33013,1200-1800,0.7510292155188767,0.4196207517443169,0.7901896241278416,0.6,0.9999969340160979,0.18734717929170336,1457
33014,ZCTA5 33014,1200-1800,0.695238595808703,0.5730784379923475,0.7134607810038263,0.6,0.9999971095151765,0.21538449643328653,1574
33015,ZCTA5 33015,1200-1800,0.6362585869862369,0.9638335584064821,0.518083220796759,0.6,0.9999973285140267,0.2765862342939389,1720
33016,ZCTA5 33016,1200-1800,0.6624324963784011,0.641739815440018,0.679130092279991,0.6,0.9999972265145621,0.18345899314516056,1652
